Portuguese Comment,Translated Comment,Sentiment Score
Pearl Jam ❤️,Pearl Jam ❤️,0.0
Queremos Charli XCX dia 12👀,We want Charli XCX day 12👀,0.0
"Mudem o slogan para o pior cartaz de sempre. O dia 12 então é assustador, tão mau tão mau que chega a ser embaraçoso e uma afronta para quem como eu comprou o passe de 3 dias","Change the slogan to the worst poster ever.The 12th then is scary, so bad so bad that it is embarrassing and an affront to whom like me bought the 3 day pass",-0.7249999999999999
Mais bilhetes para o dia 13 😭😭😭😭😭😭,More tickets for the 13th 😭😭😭😭😭😭,0.25
Pior cartaz de sempre 😢 que desilusão. O cartaz do @superbocksuperrock está muito mas muito melhor,Worst poster ever 😢 than disappointment.The @superbocksuperrock poster is much but much better,-0.10000000000000002
"Realmente Water bombou, mas ao ponto de meter Tyla como um dos destaques da edição… 😶‍🌫️","Really Water pumped, but to the point of putting Tyla as one of the highlights of the edition… 😶‍🌫️",0.2
#UMALIVEQUEJÁNÃOÉALIVE,#Umlivequejá,0.0
More tickets,More Tickets,0.5
😍😍😍😍😍,😍😍😍😍😍,0.0
Melhor cartaz de sempre?!?! Q mentira. Está péssimo!,Best poster ever?!?!The lie.It's terrible!,0.0
"The 12, nos stage needs some rock","The 12, at the Stage Needs Some Rock",0.0
dia 12 está deprimente,Day 12 is depressing,-0.6
Greta VF 🙏🏼!!!!,Greta vf 🙏🏼 !!!!,0.0
💩💩💩💩💩,💩💩💩💩💩,0.0
"Compro bilhetes para dia 13, dm","Buy tickets for the 13th, dm",0.0
É mesmo isso... em contagem decrescente.⚡️🤎🎶,That's it ... in decreasing count.⚡️🤎🎶,0.0
Que cartaz terrivel...pagar 80 euros por isto...,What a terrible poster ... pay 80 euros for this ...,-1.0
🔥🔥🔥🔥,🔥🔥🔥🔥,0.0
“Haaaa esse ano está péssimo” então não vai p0rr@ 🙄,“Haaaa this year is terrible” so it won't go p0rr@ 🙄,-1.0
"Dia 13, gosto daquela banda, os Many more to announced, muito bom... Já está esgotado, fechou a loja","Day 13, I like that band, the Many More to Announced, very good ... It's already sold out, closed the store",0.45249999999999996
Só este e o pop in rio. Que coisa miserável.,Only this is the pop in rio.What a miserable thing.,-0.5
Cadê mais ingresso do Pearl Jam?,Where's more Pearl Jam ticket?,0.5
"Madcool com garbage, the killers e tanta coisa... aqui bastou pj, esgotou e fechou a loja","Madcool with Garbage, The Killers and so much ... Here it was PJ, sold out and closed the store",0.05
@gretavanfleet pls,@gretavanfleet pls,0.0
Pra mim so sum 41 vale a pena ver :/ poderia ter mais coisa boa no dia 13,For me only sum 41 is worth seeing:/ could have more good thing on the 13th,0.3
Mais bilhetes para os Pearl Jam!!,More tickets for Pearl Jam !!,0.78125
Quando é que os bilhetes para esta gesta vao estar disponíveis para levantar no posto de turismo?,When will the tickets be available to be available to get up at the tour?,0.4
o cartaz mais podre que já vi,The most rotten poster I've ever seen,0.5
"Se adicionarem Soccer Mommy, Dj Koze e/ou Alvvays ao dia 11 (todos estão no mad cool) não procrastino mais a compra do meu bilhete diário.","If you add soccer mommy, DJ Koze and/or Alvvays to the 11th (everyone is in Mad Cool) no longer procrastinates the purchase of my daily ticket.",-0.09166666666666667
q lineup perfeito,Q Perfect Lineup,1.0
Anyone selling 2 tickets for July 11 & 13 ?,Anyone Selling 2 Tickets for July 11 & 13?,0.0
"Bring Purple disco machine, jungle, justice, the kooks...","Bring Purple Disco Machine, Jungle, Justice, The Kooks ...",0.0
"Pior cartaz de sempre, preço mais caro de sempre.","Worst poster ever, the most expensive price ever.",-0.3333333333333333
@elirato,@elirato,0.0
I'm still looking for tickets for 11 and 13juli.,I'm Still Looking for Tickets for 11 and 13 Juli.,0.0
@andfreire r we going ;),@andfreire R We Going;),0.25
Trás o @chaseatlantic,BRING @CHASEATLANTIC,0.0
On July 11 on the tickets page...why is Arcade Fire not pictured as the headliner or even mentioned? Are they no longer scheduled to play?,On July 11 On the Tickets Page ... Why is Arcade Fire Not Pictured As Headliner or Even Mentioned?Are they in the longer Scheduled to Play?,0.0
Oi! Tô querendo dois ingressos pra todos os três dias. A entrada separada do dia 13 também serve pra gente. 🙏🏼🙏🏼,Hey!I'm wanting two tickets for all three days.The separate entrance from the 13th also fits us.🙏🏼🙏🏼,0.0
Is this it? There has to be more nos stage acts,Is this it?There has to be more at stage acts,0.5
"Not 1 positive comment and deservedly so….. apart from Pearl jam the Nos stage is really weak. Shit pop, washed up pop, and has been cock rock. I’ll be in the Heineken Stage for most of the festival and definitely elsewhere next year!!!","Not 1 positive comment and deservedly so… .. apart from pearl jam the stage is really weak.Shit pop, Washed Up Pop, and has Been Cock Rock.I'LL BE IN THE HEINEKEN STAGE FOR MOST OF THE FESTIVAL AND DEFINELY ELSEWHERE NEXT YEAR !!!",0.1465909090909091
"Dia 13 só pearl jam, que o resto 👎👎👎👎👎👎👎 nem conheço , muito fraquinho","Day 13 only Pearl Jam, that the rest 👎👎👎👎👎👎👎 I don't even know, very weak",-0.24375000000000002
"Então, mas... E o resto do cartaz para dia 13? É isto? 🤔","So, but ... And the rest of the poster for the 13th?This is it?🤔",0.0
When is the full lineup going to be out?,When is the Full Lineup Going to Be Out?,0.35
Onde posso adquirir um bilhete de 3 dias? Existe alguma lista para as desistências e devoluções de bilhetes?,Where can I purchase a 3 -day ticket?Is there any list for tickets and tickets of tickets?,0.0
Só faltava aqui um @noahkahanmusic 🙌🏾,Just missing here a @noahkahanmusic 🙌🏾,-0.2
Não podiam juntar os Pearl Jam com os Smashing pumpkins os Arcade fire e a Dua Lipa num só? Isso é que era!😊,Could they not join the Pearl Jam with the Smashing Pumpkins the Arcade Fire and Dua Lipa in one?That's what it was! 😊,0.0
Pearl Jam ♥️♥️,Pearl Jam ♥ ️ ♥ ️,1.0
Busco 2 abonos!,I seek 2 allowances!,0.0
cadê a avril lavigne?,Where's Avril Lavigne?,0.0
@everythingisnewpt Olá! Haverá revenda de bilhetes dia 13?,@everythigisNEWPT Hello!Will there be ticket resale on the 13th?,0.0
Anyone needs ti.xxx🎟️,Anyone Needs Ti.xxx🎟️,0.0
That's it?,That's it?,0.0
